taxa,abu,substrate
U. isabellina,245,forest litter
U. curvata,77,forest litter
A. coerulea,40,forest litter
P. verticillata/humilis,15,forest litter
A. cylindrospora,12,forest litter
M. strictus,11,forest litter
U. angularis,7,forest litter
U. vinacea,4,forest litter
E. lignicola,1,forest litter
U. isabellina,227,mound surface
U. curvata,30,mound surface
A. coerulea,17,mound surface
P. verticillata/humilis,3,mound surface
A. cylindrospora,10,mound surface
M. strictus,9,mound surface
U. angularis,15,mound surface
U. vinacea,11,mound surface
E. lignicola,22,mound surface
U. isabellina,175,mound interior
U. curvata,21,mound interior
A. coerulea,19,mound interior
P. verticillata/humilis,0,mound interior
A. cylindrospora,98,mound interior
M. strictus,4,mound interior
U. angularis,26,mound interior
U. vinacea,8,mound interior
E. lignicola,24,mound interior
